I1,I2,I3,I4,Amm,Contract,Dep,Sprc,PRC,ZIP,SPECcode,SpecNum
11,171,302,637,13125.88,26753,2,3,1,60439,431,10
11,181,15,367,325000,60358,9,7,0,60611,993,48
241,174,0,0,6124.95,31955,16,6,0,60601,55,13
188,179,0,0,51024.49,33770,11,1,1,60609,46,13
11,181,42,929,876.6,19393,15,41,3,60197,798,37
154,185,0,0,26314,47754,9,15,1,60501,476,13
11,161,18,967,2376,29709,12,5,1,60176,822,11
11,171,67,122,979.5,33233,0,0,0,60000,300,10
11,171,29,4,44260.65,18086,10,16,1,33178,507,65
11,181,1,200,4253.85,33265,19,12,1,60515,74,13
22,185,1,87,31213.88,33363,4,6,0,60608,508,13
11,181,16,960,31998.9,55562,11,5,1,53006,387,13
270,167,0,0,1291.8,31707,27,6,3,60617,171,12
184,178,0,0,287844.9,64880,3,7,0,60661,530,55
11,171,86,620,2113.25,28819,5,12,1,60501,508,11
11,121,56,283,156,18916,24,5,1,91107,510,65
138,174,0,0,20000,49131,0,19,0,60603,413,32
250,165,0,0,2820.78,28388,4,6,0,60607,850,11
22,175,0,785,2388.1,43850,4,6,1,60619,796,25
11,171,68,30,87.63,33233,0,0,0,60000,300,10
250,175,0,0,7995.54,44157,4,6,0,60651,913,30
22,184,101,673,919,51042,16,6,0,60617,150,35
11,161,96,48,32491.22,30545,12,12,1,60139,487,12
106,181,0,0,2031.6,20293,0,0,0,60000,285,62
11,171,16,976,207.47,30043,7,12,1,40285,219,82
11,171,300,134,92755.08,19847,13,26,5,64180,693,66
22,185,8,303,76795.4,33343,4,6,0,60616,508,13
250,165,0,0,29520.12,31245,4,6,0,60661,938,12
11,171,87,836,42.48,33233,0,0,0,60000,300,10
11,171,27,796,157.27,26588,24,5,1,60642,590,85
11,171,30,939,1876.94,24027,10,5,1,60609,610,86
11,171,31,719,605.36,26158,12,5,1,60661,394,83
22,185,3,619,8064.61,58901,4,6,0,60619,761,45
22,185,1,762,6125.58,67499,4,6,0,60643,857,59
250,165,0,0,495,31107,4,6,0,60630,925,12
185,189,0,0,420000,75923,13,4,1,60656,239,48
22,175,7,50,7409,58890,4,6,0,60616,626,46
138,184,0,0,3930.33,29555,12,2,2,60606,56,11
11,181,16,594,17239.04,26600,2,26,3,60638,722,87
250,165,0,0,1298.19,34980,4,6,0,60640,996,15
270,177,0,0,1666.66,51203,27,6,3,60637,171,12
22,185,2,45,12847.32,58799,4,6,0,60628,626,46
11,171,19,365,14604.4,24932,3,5,1,60101,364,73
11,181,302,229,80280.9,19847,13,26,5,64180,693,66
11,181,19,866,1802.34,19755,12,12,1,60609,123,71
158,176,0,0,36139.8,28423,19,15,1,60640,860,10
250,165,0,0,2178.84,31242,4,6,1,60607,937,12
11,171,27,866,26191.35,26158,12,5,1,60661,394,83
11,171,42,192,889.86,28295,7,12,1,60628,538,10
138,174,0,0,18231.84,30223,12,7,0,53201,471,12
11,181,17,876,21047.5,29002,18,7,0,60616,99,12
22,184,100,740,24912.61,33522,16,6,0,60613,755,13
11,171,16,998,14962.5,33033,3,12,1,60628,731,12
241,174,0,0,6923.23,33733,16,6,0,60613,139,14
11,181,88,94,4.29,33233,0,0,0,60000,300,10
11,171,89,894,31.8,26706,14,12,1,60644,854,88
11,171,30,733,237614.86,12554,12,5,1,30384,767,37
22,177,0,43,5025.96,51201,27,6,3,60629,171,12
11,171,30,355,9088.2,17739,10,16,1,60137,126,61
11,181,85,504,202.79,33233,0,0,0,60000,300,10
11,171,89,910,94320,32528,17,12,1,60696,654,12
138,164,0,0,1543.75,29554,12,2,2,60540,56,11
11,161,27,381,1134.94,28775,0,0,0,60000,144,10
22,175,3,42,3165.48,43663,4,6,0,60643,53,30
184,178,0,0,176917.12,37893,3,2,3,60606,431,13
11,171,388,597,2223.46,26573,10,16,8,60106,101,91
185,179,0,0,192287.25,35223,2,4,0,60631,420,12
11,171,19,526,9658,27781,0,0,0,60000,939,10
11,181,301,975,222.57,28295,7,12,1,60628,538,10
11,181,300,39,62600.04,26659,0,3,1,60164,123,10
22,175,6,361,823.64,34970,4,6,0,60628,996,15
11,171,15,642,592741.96,21473,7,5,1,60609,944,79
11,181,17,613,6485.04,74381,11,12,1,60609,552,50
11,181,18,117,67.99,33233,0,0,0,60000,300,10
11,161,18,609,1641.07,20353,10,16,1,60655,645,66
22,175,3,405,2317.75,43770,4,6,1,60603,796,25
11,171,389,464,996.51,28295,7,12,1,60628,538,10
11,171,31,728,694.2,42756,12,5,1,60631,357,12
11,171,90,27,305.98,33233,0,0,0,60000,300,10
22,185,6,726,33461,33041,4,6,0,60640,59,13
11,171,301,907,19603.31,25933,2,3,1,60612,756,97
11,161,85,613,120.09,19852,13,26,5,60661,693,66
11,171,17,850,51.87,30043,7,12,1,40285,219,82
11,161,18,459,621.32,32909,12,5,1,60004,438,12
11,181,17,928,650,49308,0,0,0,60000,509,13
11,171,89,722,998.7,33233,0,0,0,60000,300,10
250,165,0,0,47576.15,33373,4,6,0,60603,508,13
11,171,42,620,840,32900,17,5,1,60177,848,12
11,181,16,243,1480.25,28295,7,12,1,60628,538,10
22,175,3,460,913.01,55595,4,6,0,60621,53,30
250,165,0,0,4164.98,31485,4,6,0,60629,739,12
22,184,101,313,4928.5,50436,16,6,0,60640,180,34
11,161,18,548,34054.19,18086,10,16,1,33178,507,65
241,174,0,0,12952.62,26938,16,6,0,60612,200,11
11,161,92,136,336.46,28364,12,5,3,60678,380,10
11,171,20,456,27060,29653,11,12,1,60604,415,10
11,171,68,568,45.61,33233,0,0,0,60000,300,10
11,171,21,434,227.44,33233,0,0,0,60000,300,10
185,169,0,0,11576.31,19393,15,41,3,60197,798,37
22,175,4,760,8233.04,58998,4,6,0,60617,869,46
22,185,4,951,59360.56,58932,4,6,0,60670,626,46
22,175,400,596,4908.68,50293,9,6,3,60653,115,91
185,179,0,0,73170.36,19393,15,41,3,60197,798,37
270,177,0,0,1750,51109,27,6,3,60647,171,12
241,174,0,0,73266.87,32642,16,6,0,60694,263,13
22,175,7,146,100,43850,4,6,1,60619,796,25
250,175,0,0,12390,31999,4,6,0,60612,59,13
11,171,68,689,4847.75,28355,2,3,1,60622,179,11
241,174,0,0,52848.36,31762,16,6,0,60614,999,12
250,175,0,0,4836.58,33336,4,6,0,60608,509,13
22,185,7,80,24044.55,58805,4,6,0,60622,761,45
22,175,4,630,25020.56,60965,4,6,0,60661,771,49
11,171,69,64,3856.3,20099,0,0,0,60000,675,66
11,171,388,691,24369.75,23883,2,26,5,60606,938,79
22,185,7,560,3710.78,58780,4,6,0,60636,626,46
250,175,0,0,2416.66,34363,4,6,0,60619,114,15
22,175,4,313,7793.82,31493,4,6,0,60630,739,12
250,165,0,0,1666.66,34354,4,6,3,60640,109,15
11,161,95,717,795.32,33233,0,0,0,60000,300,10
22,185,1,929,94732.42,33355,4,6,0,60602,508,13
11,171,303,261,9207.3,30545,12,12,1,60139,487,12
11,181,85,868,525.4,33233,0,0,0,60000,300,10
11,181,85,664,760.13,15257,10,16,1,60137,660,56
11,181,300,723,11622.01,22875,2,26,5,60616,975,79
11,171,300,473,3359.16,20653,2,3,1,60035,469,74
11,181,300,781,505.56,19755,12,12,1,60609,123,71
11,171,93,827,34223.64,28466,0,0,0,60000,298,10
11,171,69,471,566368.26,28009,0,0,0,60000,561,10
22,184,100,185,7125.58,33696,16,6,0,60614,65,14
241,174,0,0,4552.13,42041,16,6,0,60637,627,23
11,181,300,720,24751.69,17739,10,16,1,60137,126,61
11,181,86,682,1938.48,33232,0,0,0,60000,508,10
11,171,31,568,9092.43,24025,10,5,1,60609,610,86
11,161,85,163,135.97,24027,10,5,1,60609,610,86
138,164,0,0,436727,19539,0,0,0,60000,519,65
11,171,301,473,56529.67,26568,2,26,5,60601,942,99
22,177,0,386,505.72,51163,27,6,3,60609,171,12
11,181,1,994,665.8,33233,0,0,0,60000,300,10
11,171,87,575,166.45,33233,0,0,0,60000,300,10
106,171,0,0,68.19,19393,15,41,3,60197,798,37
22,185,1,737,1719.92,67716,4,6,0,60629,169,60
22,185,7,169,2156.21,67711,4,6,0,60657,169,60
11,181,42,835,333.41,28775,0,0,0,60000,144,10
154,175,0,0,6431,47754,9,15,1,60501,476,13
250,165,0,0,50,34966,4,6,0,60603,996,15
11,181,85,547,226.77,33233,0,0,0,60000,300,10
22,187,0,120,2255.04,51152,27,6,3,60649,171,12
131,183,0,0,1015,30296,0,0,0,60000,834,11
11,171,67,85,949.4,17739,10,16,1,60137,126,61
11,171,86,501,281.1,42124,16,7,0,60132,688,23
22,185,400,76,2978.31,50288,9,6,3,60629,115,91
11,171,29,989,2646.52,28296,7,12,1,11747,538,10
11,171,41,734,2500,63414,6,7,0,61801,355,53
11,171,94,159,5421.64,30994,11,12,1,60611,364,12
11,171,300,648,407.7,51904,0,0,0,60000,508,10
250,175,0,0,6232.72,49410,4,6,0,10173,955,12
11,181,1,158,197.4,33233,0,0,0,60000,300,10
184,178,0,0,1243581.14,32517,3,1,1,60607,546,12
11,171,90,812,382.9,33233,0,0,0,60000,300,10
11,171,20,321,15590.55,17560,0,0,0,60000,181,51
131,173,0,0,372,30298,0,0,0,60000,834,11
11,181,27,269,360,17836,10,16,1,60609,902,59
11,171,88,61,81.18,28364,12,5,3,60678,380,10
22,175,6,472,213.7,31303,4,6,0,60640,940,12
22,175,5,37,539,43984,4,6,1,60639,796,25
250,175,0,0,11797.05,32003,4,6,0,60608,59,13
22,185,1,166,7632.3,67721,4,6,0,60629,169,60
11,171,31,706,7493.31,21859,10,16,1,60636,645,66
11,161,95,581,197.09,33233,0,0,0,60000,300,10
11,171,30,841,143.52,26235,10,16,1,60106,848,98
11,161,86,416,746.18,26633,2,26,5,63150,803,98
11,171,42,428,294.29,33233,0,0,0,60000,300,10
11,171,19,890,32430.58,59087,0,0,0,60000,942,39
22,185,2,75,11175.03,68339,4,6,0,60608,781,60
270,167,0,0,2297.54,36906,27,6,0,60651,171,12
241,164,0,0,3186.48,31989,16,6,0,60637,69,13
11,181,28,909,42507.08,24025,10,5,1,60609,610,86
11,181,1,121,2822.07,43299,0,0,0,60000,640,13
241,164,0,0,839.66,33539,16,6,0,60608,764,13
11,181,302,693,953.86,64418,2,3,1,60631,607,11
11,171,86,476,2600,31057,28,5,1,60605,103,81
11,171,41,835,1500,63399,6,7,0,60610,346,53
11,181,28,123,820,28520,12,12,1,60176,845,10
22,185,8,167,1086.08,68136,4,6,0,60602,857,59
131,173,0,0,55,49308,0,0,0,60000,509,13
250,175,0,0,55629.57,33361,4,6,0,60607,508,13
11,181,20,225,525,27839,0,0,0,60000,608,96
11,171,188,988,2433.18,19539,0,0,0,60000,519,65
22,185,6,307,13453.27,58802,4,6,0,60625,761,45
154,185,0,0,6729,47754,9,15,1,60501,476,13
11,181,87,124,118.18,33233,0,0,0,60000,300,10
184,178,0,0,29319.46,30025,3,8,1,60609,60,12
11,171,92,77,1998,26538,2,3,1,60634,409,10
11,171,30,540,1346.57,20337,10,16,1,60609,645,66
22,177,0,343,665.28,51127,27,6,3,60616,171,12
270,177,0,0,1006.99,51191,27,6,3,60646,171,12
11,161,19,11,156.6,26158,12,5,1,60661,394,83
11,171,30,397,33319.31,18085,10,16,1,33178,138,61
22,185,1,429,6916.2,58899,4,6,0,60610,626,46
22,175,2,393,1852.8,57476,4,6,0,60606,553,44
11,171,17,909,119.88,33233,0,0,0,60000,300,10
185,179,0,0,7008.33,20293,0,0,0,60000,285,62
11,171,27,1,2351.32,24026,10,5,1,60415,610,86
11,171,389,658,164934.98,5432,0,0,0,60000,0,0
11,181,42,324,299.25,28090,5,5,1,60035,64,11
11,171,31,799,320,32877,12,16,1,53227,460,11
11,171,27,454,2127620,26235,10,16,1,60106,848,98
250,175,0,0,132977.38,48891,4,6,0,60608,162,32
11,181,29,164,2445,70890,12,5,3,60674,168,31
11,171,28,984,2318.53,29709,12,5,1,60176,822,11
11,161,95,700,2052.91,19651,12,5,1,60612,930,59
250,175,0,0,1453.41,48788,4,6,0,60622,509,13
11,181,29,557,5276.11,18925,10,16,1,60612,902,59
22,174,101,759,1451.98,33687,16,6,0,60608,64,14
241,174,0,0,52257.4,31762,16,6,0,60614,999,12
11,181,27,871,15545.76,18086,10,16,1,33178,507,65
131,173,0,0,180,30303,0,0,0,60000,834,11
11,171,67,694,231729.3,34001,0,0,0,60000,71,12
250,175,0,0,28013.39,33332,4,6,0,60608,509,13
11,181,20,250,95235,29653,11,12,1,60604,415,10
254,175,0,0,10036.28,50324,9,6,3,60639,496,11
11,171,92,560,91573.98,28364,12,5,3,60678,380,10
241,164,0,0,938.51,33743,16,6,0,60607,145,14
131,183,0,0,1900,32230,29,5,1,60654,459,12
22,185,4,784,21566.77,32925,4,6,0,60612,59,13
250,165,0,0,7078.58,35527,4,6,3,60602,549,13
22,185,8,102,5938.93,44136,4,6,0,60640,912,30
11,181,19,925,13019.15,14376,18,7,0,60606,546,55
22,175,400,561,10515.59,50123,9,6,3,60610,87,90
11,171,67,317,439.2,33046,3,12,1,60649,241,12
11,171,85,542,299.25,28090,5,5,1,60035,64,11
22,175,6,107,2318.15,43692,4,6,1,60628,54,30
22,174,100,688,26.21,36728,0,6,0,60612,888,17
11,171,92,988,54956,32560,0,0,0,60000,157,12
22,175,6,870,1140.58,48790,4,6,0,60603,509,13
250,175,0,0,25114.88,33356,4,6,0,60620,508,13
22,185,2,449,4520.65,67711,4,6,0,60657,169,60
22,175,4,417,3819.16,48792,4,6,0,60626,509,13
22,175,0,621,8346.58,32320,4,6,0,60653,173,13
11,181,28,334,16823.86,18086,10,16,1,33178,507,65
11,181,85,252,188.55,33233,0,0,0,60000,300,10
11,171,87,696,185.15,33233,0,0,0,60000,300,10
22,175,400,647,1350.72,50012,9,6,3,60620,87,90
22,174,102,106,279.17,33695,0,6,0,60613,65,14
11,181,28,732,1112.2,19542,10,16,6,30384,143,71
11,171,40,152,128.53,33233,0,0,0,60000,300,10
22,175,0,831,8625,57876,4,6,0,60619,637,44
254,175,0,0,4410.64,50127,9,6,3,60661,87,90
250,175,0,0,4956.87,55872,4,6,0,60602,53,30
250,175,0,0,3500,44141,4,6,0,60608,914,30
250,175,0,0,88188.47,33340,4,6,0,60608,509,13
250,175,0,0,502.71,43879,4,6,0,60608,914,30
11,181,15,651,68934.15,26598,0,0,0,60000,248,92
22,185,8,788,40313.65,58623,4,6,0,60608,761,45
11,161,85,333,2055.6,24084,2,3,1,60630,408,84
11,171,18,760,20149.36,19651,12,5,1,60612,930,59
250,175,0,0,27190.92,26982,4,6,0,60608,223,11
11,171,19,289,3515.4,26158,12,5,1,60661,394,83
11,171,91,451,1527.2,26994,12,5,1,60055,303,93
22,175,400,416,4890,50127,9,6,3,60661,87,90
11,171,90,283,80682.5,32040,1,5,1,60649,357,12
11,163,27,543,1153.14,32121,17,12,1,60628,484,12
250,175,0,0,36660.05,33025,4,6,0,60661,955,12
11,171,69,461,4906.18,42507,3,12,1,60617,384,13
131,183,0,0,290,30301,0,0,0,60000,834,11
11,171,87,649,47.69,33233,0,0,0,60000,300,10
22,175,0,975,17889.81,33341,4,6,0,60624,509,13
11,181,16,561,2849.8,24932,3,5,1,60101,364,73
22,185,3,235,11064.2,32005,4,6,0,60608,59,13
11,171,20,513,2300,27839,0,0,0,60000,608,96
22,175,6,230,273.94,43770,4,6,1,60603,796,25
11,181,27,619,2019.6,17739,10,16,1,60137,126,61
250,175,0,0,25792.37,31388,4,6,0,60613,953,12
184,178,0,0,46818.21,26684,3,7,0,60612,967,10
22,175,6,293,3654.46,31432,4,6,0,60608,940,12
22,175,6,260,2711.21,44052,4,6,0,60626,53,30
11,181,17,755,170593.33,26632,0,0,0,60000,35,10
22,185,8,324,1446.52,67716,4,6,0,60629,169,60
11,171,389,585,1501.3,33469,12,12,1,60609,826,12
106,181,0,0,91.98,19393,15,41,3,60197,798,37
22,185,8,627,2513.55,43879,4,6,0,60608,914,30
154,185,0,0,2358,47144,9,15,1,60501,476,13
11,181,27,593,1822.3,25325,12,5,1,60608,418,84
11,181,302,830,1208,29924,2,3,1,60803,952,11
11,181,29,6,8078.4,17739,10,16,1,60137,126,61
22,185,2,122,6844.96,67654,4,6,0,60640,169,60
11,181,1,933,5.35,33233,0,0,0,60000,300,10
22,184,100,982,8706.88,31750,16,6,0,60657,997,12
11,181,42,980,7068.82,28777,0,0,0,60000,144,10
22,175,3,327,64973.93,31290,4,6,0,60608,940,12
22,175,7,180,1472.65,43648,4,6,0,60640,53,30
11,171,388,543,1225.1,32528,17,12,1,60696,654,12
250,165,0,0,18300.86,33378,4,6,0,60614,549,13
11,181,41,541,294.3,33717,0,0,0,60000,479,12
22,175,6,377,68068,31999,4,6,0,60612,59,13
11,171,86,465,1412.44,33232,0,0,0,60000,508,10
11,171,41,558,188.13,33233,0,0,0,60000,300,10
11,171,92,833,1054.4,28775,0,0,0,60000,144,10
123,172,0,0,1250,62442,6,7,0,60617,66,52
11,181,1,449,4410,53096,0,0,0,60000,609,13
250,145,0,0,2653.28,28393,4,6,0,60639,850,11
11,171,86,85,1839.99,33233,0,0,0,60000,300,10
184,168,0,0,3862.14,27750,3,2,3,60606,482,94
106,181,0,0,193711.91,19393,15,41,3,60197,798,37
22,185,6,32,6157.07,67718,4,6,0,60629,169,60
22,175,1,547,3103.7,31341,4,6,0,60657,941,12
184,188,0,0,161130,69569,3,1,0,60646,545,21
11,181,1,600,19200,34346,3,5,1,60103,836,12
11,171,67,659,231,33233,0,0,0,60000,300,10
188,179,0,0,259573.58,33926,11,1,1,60106,45,13
167,187,0,0,15100,34446,1,23,2,60628,245,13
11,171,30,359,1194.93,17739,10,16,1,60137,126,61
11,171,20,855,471,28296,7,12,1,11747,538,10
185,179,0,0,143891.27,48370,2,4,1,60609,8,21
106,171,0,0,1015.29,20293,0,0,0,60000,285,62
22,185,4,693,2783.34,73422,4,6,0,60606,857,59
11,171,69,822,99.87,33233,0,0,0,60000,300,10
11,171,20,135,40659.05,26449,2,3,1,60007,189,10
11,181,29,607,2.85,33233,0,0,0,60000,300,10
188,189,0,0,18567.35,24377,11,2,2,60606,7,90
11,181,27,352,10510.14,21859,10,16,1,60636,645,66
11,171,87,674,81,30871,11,12,1,60639,882,11
184,178,0,0,3675.79,44315,3,2,2,60674,423,94
11,181,19,99,156.43,30871,11,12,1,60639,882,11
11,171,89,500,2313.84,33833,6,5,1,60616,22,13
250,175,0,0,14505.97,33579,4,6,0,60637,510,13
184,168,0,0,8779.15,18636,3,2,5,60000,339,63
11,171,303,410,2669.69,64418,2,3,1,60631,607,11
250,175,0,0,91911.9,33591,4,6,0,60640,510,13
22,174,102,244,63.39,33766,0,6,0,60612,153,14
254,175,0,0,512.05,50012,9,6,3,60620,87,90
11,171,28,254,1580,24519,10,5,1,60133,126,81
22,185,3,625,11563.92,58802,4,6,0,60625,761,45
250,175,0,0,20609.65,31305,4,6,0,60621,940,12
22,184,100,55,14808.43,33746,16,6,0,61101,146,14
184,188,0,0,1154.4,29714,3,2,2,52761,283,11
250,175,0,0,12000,43967,4,6,0,60641,913,30
11,181,0,418,6360,34955,3,12,1,60617,731,12
11,161,86,421,742.4,28295,7,12,1,60628,538,10
22,174,101,638,587.94,31766,16,6,0,60628,0,13
11,181,27,705,247.5,20497,10,16,1,60534,645,66
11,171,30,288,342.02,33447,2,3,1,60090,118,13
22,185,0,791,67453.22,33343,4,6,0,60616,508,13
11,161,85,776,1888.5,41073,16,7,0,60693,545,22
11,181,301,530,1223,35679,2,22,1,60617,145,13
184,188,0,0,6110.79,29895,3,7,0,91106,340,12
22,185,8,79,14873.88,67756,4,6,0,60640,169,60
188,179,0,0,82682.64,40652,11,1,1,60639,456,13
11,181,16,378,592.05,24932,3,5,1,60101,364,73
241,174,0,0,1011.14,31679,0,6,0,60604,986,12
184,178,0,0,9635.49,29716,3,2,2,60606,283,11
250,165,0,0,422.5,31264,4,6,1,60653,937,12
138,174,0,0,20.36,29707,12,7,0,60693,257,12
11,181,41,653,79.9,32528,17,12,1,60696,654,12
22,187,0,130,6456.47,51201,27,6,3,60629,171,12
11,181,87,664,6.75,33233,0,0,0,60000,300,10
188,179,0,0,114027.42,27444,11,2,5,48267,868,10
11,181,302,46,1583.88,41635,12,12,1,60604,175,12
270,177,0,0,2884.63,51182,27,6,3,60603,171,12
250,175,0,0,2042.72,34972,4,6,0,60602,996,15
184,168,0,0,18818.44,18649,3,2,5,63102,339,63
250,175,0,0,2949.34,31430,4,6,0,60340,940,12
250,165,0,0,863.59,33014,4,6,0,60661,937,12
11,161,18,429,20826,24026,10,5,1,60415,610,86
11,171,32,156,355,24845,6,5,1,60428,439,84
22,175,4,917,694.75,31188,4,6,0,60628,936,12
11,171,20,546,154324.67,30012,18,7,0,60612,387,12
11,171,29,906,1876.94,24027,10,5,1,60609,610,86
11,171,31,523,3999.88,19651,12,5,1,60612,930,59
11,171,20,144,3750,23815,18,7,0,60601,276,92
22,185,7,660,3082.63,67583,4,6,0,60605,857,59
11,171,67,697,3150,33033,3,12,1,60628,731,12
11,161,25,164,10425.92,31001,11,12,1,60609,681,11
11,171,389,763,722.7,22875,2,26,5,60616,975,79
11,171,71,208,63172.18,3718,23,7,0,60605,736,17
188,179,0,0,28510.44,28469,11,2,2,60602,56,11
250,175,0,0,4550,31578,4,6,0,60659,729,12
11,181,87,653,1141.6,26051,12,12,1,60618,14,90
185,189,0,0,594652.01,47187,2,4,0,60656,55,15
11,171,68,656,39280.92,26901,3,12,1,60455,208,92
22,175,0,875,29491.82,32000,4,6,0,60603,59,13
22,175,7,303,1014453.9,49649,4,6,0,60601,173,33
22,187,0,230,5382.5,51192,27,6,3,60660,171,12
11,181,17,477,2003.64,28295,7,12,1,60628,538,10
11,181,300,406,67302.5,63622,2,3,1,60106,934,37
11,161,86,34,60871.34,26601,2,26,3,60602,719,97
11,171,389,752,48640.06,14731,2,3,1,60610,318,53
254,175,0,0,2825.53,50231,9,6,3,60659,114,91
11,171,29,978,1610.4,21860,10,16,1,60638,645,66
11,171,41,696,63937.8,46807,12,12,1,60007,447,13
11,171,300,620,363.44,40336,19,12,1,60477,312,13
22,185,400,465,3205.92,50012,9,6,3,60620,87,90
22,174,100,65,10990.41,56232,0,6,0,60601,80,43
270,177,0,0,4674.65,51166,27,6,3,60640,171,12
250,175,0,0,323213.82,33041,4,6,0,60640,59,13
157,176,0,0,907.7,19393,15,41,3,60197,798,37
11,171,67,871,89.19,28466,0,0,0,60000,298,10
11,181,85,946,296.76,33233,0,0,0,60000,300,10
11,181,42,743,339.89,28364,12,5,3,60678,380,10
11,181,27,157,143630.5,18085,10,16,1,33178,138,61
241,164,0,0,7636.7,38276,0,6,0,60302,479,19
11,171,87,260,45600,46810,12,12,1,60517,447,13
185,179,0,0,358.65,20074,2,27,5,60601,158,21
188,179,0,0,13124.63,19339,11,2,3,60601,701,67
11,161,85,722,5660.77,27873,2,26,3,60602,334,10
11,181,28,319,2749.14,21860,10,16,1,60638,645,66
106,171,0,0,5300,19393,15,41,3,60197,798,37
188,179,0,0,32634.82,32521,11,1,1,60656,973,12
22,185,4,95,1801.99,67654,4,6,0,60640,169,60
22,185,7,50,1719.15,58889,4,6,0,60651,626,46
11,181,42,385,125.05,28775,0,0,0,60000,144,10
11,181,302,459,7421.51,33469,12,12,1,60609,826,12
188,179,0,0,252122.77,39293,11,1,1,60062,373,13
22,175,1,801,6235.58,52750,4,6,0,60640,510,13
22,174,101,909,4393.08,33765,0,6,0,60612,153,14
22,174,102,901,1757.84,33687,16,6,0,60608,64,14
254,175,0,0,3668.15,50238,9,6,3,60629,115,91
11,171,90,626,399.48,33233,0,0,0,60000,300,10
185,179,0,0,6334.22,18654,3,2,5,75373,339,63
11,171,89,939,15421.25,28819,5,12,1,60501,508,11
11,171,42,239,45518.65,19938,11,5,1,60608,459,64
11,171,30,820,102980,49444,0,0,0,60000,284,13
11,171,89,150,2655.78,31016,16,7,0,60677,890,12
11,171,87,219,41500,24576,14,12,6,63146,859,88
22,174,102,521,5567.58,33733,16,6,0,60613,139,14
11,181,29,61,3516.41,49569,12,5,1,60638,124,13
11,171,41,181,2124.73,25098,2,26,5,60680,996,89
138,164,0,0,1656.25,29554,12,2,2,60540,56,11
131,173,0,0,910,30299,0,0,0,60000,834,11
167,187,0,0,17427,34452,1,23,2,60631,245,13
11,171,32,149,450,24845,6,5,1,60428,439,84
11,161,92,16,20205,24835,2,5,1,46406,957,79
131,183,0,0,355,22216,1,5,1,60461,622,76
11,171,93,910,20963.83,24512,11,12,1,60120,472,84
22,187,0,88,1989.53,51188,27,6,3,60653,171,12
106,181,0,0,76.23,19393,15,41,3,60197,798,37
11,181,87,607,14.58,33233,0,0,0,60000,300,10
22,185,2,321,7698.9,48792,4,6,0,60626,509,13
11,181,41,241,589.11,63664,43,12,1,55044,673,12
11,171,91,862,41652,59798,9,7,0,60639,189,48
11,181,29,350,3918.95,29709,12,5,1,60176,822,11
106,171,0,0,4832.83,19393,15,41,3,60197,798,37
106,161,0,0,80.9,19393,15,41,3,60197,798,37
11,171,27,559,9407.79,28296,7,12,1,11747,538,10
22,185,6,446,14453.8,31997,4,6,0,60608,59,13
11,171,19,882,3031199.38,6970,18,7,0,60062,964,29
11,171,17,488,126,28245,11,12,1,60618,552,10
22,174,101,947,4717.9,33520,16,6,0,60608,754,13
11,171,86,877,99.87,33233,0,0,0,60000,300,10
11,171,40,78,45669.94,30986,17,12,1,60177,444,12
11,181,17,873,165.4,75071,11,5,1,60101,565,21
184,178,0,0,52338.8,29714,3,2,2,52761,283,11
11,161,24,909,81.25,24932,3,5,1,60101,364,73
185,179,0,0,18610,41499,2,4,1,60422,474,13
250,175,0,0,8380.37,32002,4,6,0,60622,59,13
22,185,8,462,-1071.03,67658,4,6,0,10173,169,60
106,171,0,0,2985.62,19393,15,41,3,60197,798,37
11,181,28,441,289.87,29709,12,5,1,60176,822,11
22,175,1,601,4451.96,32096,4,6,0,10173,109,13
131,183,0,0,301.25,30297,0,0,0,60000,834,11
11,171,300,176,1134.4,30545,12,12,1,60139,487,12
250,165,0,0,930.93,31396,4,6,0,60641,940,12
184,178,0,0,68657.9,26684,3,7,0,60612,967,10
185,179,0,0,2833.98,19393,15,41,3,60197,798,37
11,171,29,625,2895,34964,12,5,1,60126,627,12
184,178,0,0,327.72,26684,3,7,0,60612,967,10
11,171,89,557,16861.05,33717,0,0,0,60000,479,12
250,165,0,0,700,33338,4,6,0,60608,509,13
11,171,300,841,1883823.92,25743,0,0,0,60000,254,92
11,181,0,669,1972.63,27564,3,5,1,60612,607,56
11,181,1,433,9832.88,28775,0,0,0,60000,144,10
188,169,0,0,1074416.01,38151,11,1,1,60623,456,13
11,171,87,898,185.2,33232,0,0,0,60000,508,10
11,171,20,909,547.5,30586,14,12,1,60477,994,11
188,189,0,0,1091.48,24365,11,2,2,64180,7,90
22,185,5,933,5841.96,43876,4,6,0,60626,913,30
11,161,85,384,133.41,25098,2,26,5,60680,996,89
185,179,0,0,620.8,19393,15,41,3,60197,798,37
22,185,1,368,7000,43861,4,6,0,60628,914,30
138,174,0,0,72.49,30223,12,7,0,53201,471,12
22,185,9,257,10176.12,58940,4,6,0,60607,626,46
11,171,30,852,203.98,33461,12,5,1,60614,447,12
11,181,28,713,532.64,33233,0,0,0,60000,300,10
11,161,27,461,13811.46,26901,3,12,1,60455,208,92
138,184,0,0,1779.16,22223,18,19,0,60601,637,86
131,183,0,0,2181.53,20293,0,0,0,60000,285,62
22,175,1,866,6970.84,31486,4,6,0,60608,739,12
11,181,19,878,2743.74,75071,11,5,1,60101,565,21
241,164,0,0,102481.36,38276,0,6,0,60302,479,19
11,171,41,907,2000,63826,6,7,0,60606,889,53
11,171,42,296,37.9,33233,0,0,0,60000,300,10
